time,open,high,low,close,volume
2024-12-02,31.5,31.7,31.35,31.45,1918400
2024-12-03,31.6,31.6,30.9,30.9,2569400
2024-12-04,30.9,31.0,30.35,30.35,2916000
2024-12-05,30.4,31.5,30.1,31.35,2958200
2024-12-06,31.5,32.8,31.35,32.05,5687900
2024-12-09,32.1,32.3,32.0,32.1,2153900
2024-12-10,32.25,32.3,31.7,31.75,1802500
2024-12-11,31.75,31.95,31.25,31.45,2909400
2024-12-12,31.6,32.2,31.6,31.65,2559700
2024-12-13,31.6,31.65,31.35,31.4,1142900
2024-12-16,31.4,31.6,31.05,31.2,1315600
2024-12-17,31.45,31.45,31.1,31.1,948600
2024-12-18,31.1,31.35,31.05,31.35,762900
2024-12-19,30.9,31.15,30.75,30.9,2228300
2024-12-20,31.0,31.2,30.85,30.9,956600
2024-12-23,31.3,31.45,30.7,30.85,1803400
2024-12-24,30.85,31.15,30.65,30.7,1861800
2024-12-25,30.85,31.5,30.85,31.1,2092700
2024-12-26,31.3,31.3,30.85,30.9,1144000
2024-12-27,30.9,31.2,30.7,30.7,1609600
2024-12-30,30.7,30.7,30.55,30.55,1070600
2024-12-31,30.65,30.65,30.35,30.35,1178200
2025-01-02,30.5,30.8,30.45,30.5,946400
2025-01-03,30.6,30.75,30.3,30.3,1619700
2025-01-06,30.3,30.6,29.4,29.4,2127100
2025-01-07,29.45,29.7,28.0,28.3,3865500
2025-01-08,28.3,29.2,27.55,28.65,2445900
2025-01-09,28.8,29.1,28.6,28.6,1108600
2025-01-10,28.6,28.85,28.0,28.0,1211900
2025-01-13,28.15,28.25,27.6,28.1,947000
2025-01-14,28.1,28.35,27.75,27.75,901200
2025-01-15,28.15,28.25,27.85,28.2,680400
2025-01-16,28.5,28.75,28.3,28.45,730300
2025-01-17,28.4,29.2,28.4,28.75,1314400
2025-01-20,29.15,29.15,28.65,28.7,1012900
2025-01-21,28.85,29.0,28.4,28.4,1030100
2025-01-22,28.45,28.6,28.0,28.0,1362800
2025-01-23,28.0,28.7,28.0,28.45,1461800
2025-01-24,28.6,28.95,28.6,28.8,1613200
2025-02-03,28.95,29.9,28.8,29.25,2989200
2025-02-04,29.55,29.65,29.3,29.5,1364800
2025-02-05,29.55,29.75,29.3,29.45,1266300
2025-02-06,29.7,29.7,29.15,29.2,1349500
2025-02-07,29.2,29.95,29.1,29.4,2297000
2025-02-10,29.4,29.4,28.8,28.8,1699500
2025-02-11,28.95,28.95,28.65,28.9,1079300
2025-02-12,29.15,29.3,28.75,28.75,958300
2025-02-13,28.8,29.6,28.75,29.45,2968500
2025-02-14,29.8,31.0,29.75,30.35,5564300
2025-02-17,30.45,31.25,30.45,30.55,4781800
2025-02-18,30.75,30.85,30.35,30.85,2969100
2025-02-19,31.2,31.75,30.85,31.65,6110400
2025-02-20,31.7,32.5,31.4,32.35,6240800
2025-02-21,32.35,32.5,31.75,32.4,3890300
2025-02-24,32.45,32.6,31.9,32.45,3295100
2025-02-25,32.5,32.55,31.85,32.1,2746800
2025-02-26,32.3,32.9,32.2,32.6,4286200
2025-02-27,32.55,32.7,31.9,32.7,3126500
2025-02-28,32.7,33.8,32.35,33.4,6457800
2025-03-03,33.6,33.65,33.0,33.1,2783900
2025-03-04,33.0,33.95,32.9,33.5,5964800
2025-03-05,33.6,33.6,33.0,33.0,2713400
2025-03-06,33.0,34.0,33.0,34.0,4939600
2025-03-07,34.0,34.1,33.5,33.5,3000600
2025-03-10,33.6,33.7,33.15,33.3,2626600
2025-03-11,33.0,33.45,32.3,33.4,3157200
2025-03-12,33.3,33.4,32.8,32.8,2208000
2025-03-13,32.9,33.75,32.75,33.0,4500600
2025-03-14,33.0,33.65,32.95,33.3,4168200
2025-03-17,33.35,33.45,32.85,33.05,2746500
2025-03-18,33.2,33.75,32.95,33.4,4240900
2025-03-19,33.4,35.35,33.3,34.8,8590800
2025-03-20,35.0,35.0,34.0,34.5,2368900
2025-03-21,34.5,35.3,34.35,34.55,4101100
2025-03-24,34.55,34.6,33.7,34.15,2533500
2025-03-25,34.3,35.35,33.9,34.6,4845000
2025-03-26,34.5,34.9,34.25,34.5,2813400
2025-03-27,34.55,35.15,34.5,34.95,3998000
2025-03-28,35.05,35.6,34.8,34.8,4680600
2025-03-31,34.65,34.8,32.4,32.4,9067500
2025-04-01,32.45,32.75,31.6,31.85,3786400
2025-04-02,31.95,32.3,31.7,31.9,1929900
2025-04-03,29.7,30.1,29.7,29.7,3332700
2025-04-04,27.65,27.65,27.65,27.65,1437200
2025-04-08,25.75,25.75,25.75,25.75,461900
2025-04-09,23.95,23.95,23.95,23.95,459100
2025-04-10,25.6,25.6,25.6,25.6,2523800
2025-04-11,24.5,26.8,23.85,26.0,10906200
