time,open,high,low,close,volume
2024-12-02,60.7,60.7,59.9,60.4,2789900
2024-12-03,60.1,60.3,59.6,59.8,4019600
2024-12-04,59.4,59.8,58.0,58.1,8857200
2024-12-05,58.4,61.2,58.1,61.0,8615300
2024-12-06,60.8,61.9,60.5,61.1,7825300
2024-12-09,61.6,61.6,60.8,61.1,4410300
2024-12-10,61.1,61.2,60.5,60.8,4226800
2024-12-11,60.7,60.8,59.9,60.0,4821400
2024-12-12,60.3,60.5,59.9,60.0,3772900
2024-12-13,59.8,61.3,59.6,61.0,5596800
2024-12-16,61.0,61.4,60.2,61.0,3621300
2024-12-17,61.0,61.0,60.2,60.3,3676200
2024-12-18,60.2,60.5,59.9,60.2,4076200
2024-12-19,59.8,59.9,59.4,59.8,7103100
2024-12-20,60.0,60.8,59.6,60.6,3751400
2024-12-23,60.6,61.1,60.5,61.0,5538600
2024-12-24,61.2,61.3,60.7,61.3,3062600
2024-12-25,61.3,62.3,61.3,62.2,6300500
2024-12-26,62.4,62.4,60.5,61.5,6554700
2024-12-27,60.6,61.6,60.4,61.4,6947200
2024-12-30,60.5,61.2,60.5,61.0,4178100
2024-12-31,60.9,61.0,60.5,61.0,4520300
2025-01-02,60.9,61.2,60.3,60.6,3969400
2025-01-03,60.6,60.7,58.6,58.6,6604400
2025-01-06,58.4,59.3,57.0,57.0,5409900
2025-01-07,57.3,57.8,56.4,57.1,5532900
2025-01-08,57.1,58.1,56.5,58.1,3068200
2025-01-09,58.0,58.0,57.5,57.7,1738300
2025-01-10,57.5,58.0,56.9,57.5,3594100
2025-01-13,56.6,57.7,56.5,57.3,3791900
2025-01-14,57.3,57.5,56.6,57.2,2917600
2025-01-15,57.4,57.9,56.8,57.3,3242300
2025-01-16,57.2,58.0,57.0,57.8,3794300
2025-01-17,57.3,57.8,57.2,57.7,2697800
2025-01-20,57.7,57.9,57.3,57.5,2216200
2025-01-21,57.7,58.2,57.2,57.7,3419600
2025-01-22,57.9,58.0,57.4,57.4,3103000
2025-01-23,57.3,59.5,57.3,59.2,5657500
2025-01-24,59.2,60.1,58.6,60.1,6757300
2025-02-03,59.0,59.6,58.5,59.6,5157500
2025-02-04,59.9,59.9,59.0,59.6,3638100
2025-02-05,59.6,59.8,59.1,59.4,2780100
2025-02-06,59.5,59.6,58.7,59.1,4148800
2025-02-07,58.9,59.0,57.8,58.9,6955900
2025-02-10,58.3,58.3,57.4,57.4,5927400
2025-02-11,57.4,57.4,56.4,56.4,5986000
2025-02-12,56.8,57.3,56.4,56.4,4848400
2025-02-13,56.0,56.0,54.8,54.8,11353700
2025-02-14,55.1,55.3,53.8,55.2,11169000
2025-02-17,55.2,55.2,54.1,54.1,5933200
2025-02-18,54.0,55.0,53.8,54.5,4497600
2025-02-19,54.7,56.1,54.4,55.8,7547500
2025-02-20,55.9,56.7,55.7,56.7,6194500
2025-02-21,56.8,58.3,56.6,58.1,10123600
2025-02-24,58.1,58.5,57.3,58.4,6243200
2025-02-25,58.1,58.4,57.4,58.3,7929200
2025-02-26,58.3,59.1,57.8,58.7,4977600
2025-02-27,58.7,58.8,58.2,58.6,3222900
2025-02-28,58.0,58.7,57.8,58.3,5283200
2025-03-03,58.2,59.1,57.8,58.8,5938000
2025-03-04,58.7,59.9,58.4,59.5,6414100
2025-03-05,59.8,60.2,59.3,59.6,7188800
2025-03-06,59.8,61.9,59.6,61.9,13451900
2025-03-07,61.8,62.0,61.3,61.9,5404100
2025-03-10,62.0,62.3,61.4,62.2,8125200
2025-03-11,61.4,63.2,61.4,63.0,9576900
2025-03-12,63.0,63.0,61.9,62.7,8817600
2025-03-13,62.7,62.8,61.2,61.5,7327800
2025-03-14,61.5,62.3,61.2,61.5,8759800
2025-03-17,61.7,62.0,61.4,62.0,3541900
2025-03-18,62.2,62.5,61.4,61.8,5349100
2025-03-19,61.2,61.4,59.0,59.5,13416400
2025-03-20,59.8,60.0,59.0,60.0,4063500
2025-03-21,60.0,60.3,59.4,60.3,3129500
2025-03-24,59.8,60.3,59.5,60.3,2855200
2025-03-25,60.4,61.3,59.9,60.5,5513700
2025-03-26,60.6,61.2,60.5,60.8,2416100
2025-03-27,60.8,60.8,60.0,60.4,3190000
2025-03-28,60.1,60.7,58.9,59.8,7228900
2025-03-31,59.0,59.2,58.1,59.0,6534800
2025-04-01,58.6,58.9,57.7,58.6,5640900
2025-04-02,58.6,59.7,58.0,58.8,7441200
2025-04-03,55.1,56.3,54.7,54.7,14956500
2025-04-04,50.9,53.5,50.9,52.8,28985900
2025-04-08,49.2,50.0,49.15,49.15,11930200
2025-04-09,45.75,49.2,45.75,46.25,20206600
2025-04-10,49.45,49.45,49.45,49.45,411300
2025-04-11,51.0,52.9,50.6,52.9,12779000
