time,open,high,low,close,volume
2024-12-02,24.6,24.75,24.3,24.45,7836700
2024-12-03,24.45,24.5,24.25,24.3,12527000
2024-12-04,24.25,24.3,24.0,24.05,9139300
2024-12-05,24.1,25.7,23.65,25.7,35613300
2024-12-06,26.0,26.45,25.8,26.35,33824400
2024-12-09,26.3,26.4,26.0,26.2,18860200
2024-12-10,26.15,26.4,26.0,26.25,12619100
2024-12-11,26.3,26.4,25.95,26.15,12560400
2024-12-12,26.1,26.45,26.0,26.0,12180000
2024-12-13,25.95,26.0,25.7,25.8,10969600
2024-12-16,25.9,26.2,25.75,26.1,14599300
2024-12-17,26.1,26.15,25.85,26.0,6199400
2024-12-18,26.0,26.2,25.8,26.2,7203300
2024-12-19,25.8,26.2,25.45,26.2,30712700
2024-12-20,26.1,26.25,25.9,26.25,12287800
2024-12-23,26.2,26.3,25.85,25.85,7842600
2024-12-24,25.85,25.95,25.5,25.95,12299200
2024-12-25,26.0,26.75,25.9,26.55,26221100
2024-12-26,26.5,26.6,26.35,26.35,8764400
2024-12-27,26.4,26.7,26.3,26.6,16346900
2024-12-30,26.6,26.9,26.45,26.45,11494000
2024-12-31,26.45,26.45,26.05,26.05,8234000
2025-01-02,26.05,26.35,25.9,25.95,8938200
2025-01-03,25.9,25.95,25.35,25.35,16065900
2025-01-06,25.35,25.5,24.85,24.9,9985000
2025-01-07,25.35,25.35,24.5,24.55,18563600
2025-01-08,24.5,24.8,24.45,24.7,9134400
2025-01-09,24.7,24.95,24.4,24.4,8907600
2025-01-10,24.3,24.55,23.5,23.7,21372700
2025-01-13,23.55,24.3,23.55,24.15,10836600
2025-01-14,24.2,24.2,23.9,23.95,8104900
2025-01-15,24.15,24.35,24.0,24.15,9867500
2025-01-16,24.4,25.2,24.3,24.4,18541100
2025-01-17,24.4,24.6,24.25,24.55,7043000
2025-01-20,24.65,24.65,24.35,24.5,6981800
2025-01-21,24.55,24.8,24.4,24.45,8023600
2025-01-22,24.5,24.75,24.4,24.4,9555200
2025-01-23,24.45,25.25,24.45,25.15,18477200
2025-01-24,25.1,25.25,25.0,25.25,9711000
2025-02-03,24.85,25.05,24.75,24.8,12857000
2025-02-04,24.9,25.45,24.8,25.3,15668800
2025-02-05,25.45,25.45,25.05,25.05,9632200
2025-02-06,25.2,25.4,25.05,25.05,9261600
2025-02-07,25.05,25.2,24.95,25.0,7845200
2025-02-10,24.95,25.15,24.65,24.9,15857200
2025-02-11,24.95,25.0,24.65,24.7,12930400
2025-02-12,24.8,25.05,24.75,24.75,6964800
2025-02-13,24.75,24.9,24.7,24.8,6768300
2025-02-14,25.0,25.3,24.9,24.9,16151100
2025-02-17,24.9,25.35,24.8,25.0,18463600
2025-02-18,25.1,25.3,25.0,25.15,9839100
2025-02-19,25.25,25.4,25.05,25.35,15517000
2025-02-20,25.45,25.55,25.25,25.25,13806600
2025-02-21,25.2,25.4,25.15,25.35,11577200
2025-02-24,25.3,25.85,25.25,25.85,25063000
2025-02-25,25.9,26.2,25.75,25.85,28069100
2025-02-26,25.85,26.1,25.6,25.85,25212900
2025-02-27,25.95,26.1,25.6,26.1,17996300
2025-02-28,26.2,26.8,26.2,26.3,41396500
2025-03-03,26.3,26.8,26.15,26.6,25645100
2025-03-04,26.45,26.6,26.1,26.35,24072400
2025-03-05,26.4,26.65,26.1,26.1,27564200
2025-03-06,26.2,26.95,26.2,26.9,44988800
2025-03-07,27.1,27.15,26.8,26.9,22896800
2025-03-10,27.0,27.25,26.5,26.65,45642300
2025-03-11,26.35,26.7,26.35,26.7,26426500
2025-03-12,26.85,26.95,26.55,26.7,26789200
2025-03-13,26.75,27.4,26.45,26.95,50816000
2025-03-14,27.0,27.2,26.8,26.95,29000300
2025-03-17,27.1,27.15,26.85,27.0,18091800
2025-03-18,27.1,27.45,26.8,26.8,29540500
2025-03-19,26.7,26.85,26.5,26.55,24310900
2025-03-20,26.65,26.85,26.4,26.55,19539500
2025-03-21,26.6,26.85,26.5,26.6,21205500
2025-03-24,26.75,27.15,26.5,27.15,24444800
2025-03-25,27.3,27.45,26.9,26.9,23603700
2025-03-26,26.9,27.05,26.4,26.5,26160400
2025-03-27,26.5,26.6,26.3,26.3,15067400
2025-03-28,26.35,26.55,26.05,26.35,17622200
2025-03-31,26.15,26.35,26.0,26.0,19494500
2025-04-01,26.2,26.25,25.8,26.05,18403500
2025-04-02,26.15,26.5,26.1,26.45,15569000
2025-04-03,25.2,25.8,24.6,24.6,54284800
2025-04-04,22.9,23.85,22.9,23.75,82040000
2025-04-08,23.0,23.1,22.1,22.1,31521000
2025-04-09,20.6,22.05,20.6,20.6,73685900
2025-04-10,22.0,22.0,22.0,22.0,5220200
2025-04-11,23.0,23.45,22.4,23.45,65051200
