time,open,high,low,close,volume
2024-12-02,63.48,63.61,62.81,63.01,1575332
2024-12-03,63.14,63.14,61.94,62.21,2447450
2024-12-04,62.07,62.81,61.87,62.54,1205482
2024-12-05,62.21,63.28,62.21,62.88,2334456
2024-12-06,62.88,63.75,62.81,63.01,1702183
2024-12-09,63.01,63.75,62.81,63.75,1958838
2024-12-10,63.75,63.75,63.21,63.21,914482
2024-12-11,63.21,63.41,62.34,62.41,1611488
2024-12-12,62.54,63.14,62.54,62.54,672349
2024-12-13,62.34,62.61,62.14,62.27,1228466
2024-12-16,62.21,62.34,62.14,62.27,1122982
2024-12-17,62.21,62.27,62.07,62.21,1049241
2024-12-18,62.21,62.41,62.21,62.27,531269
2024-12-19,62.07,62.07,61.67,61.81,1870599
2024-12-20,61.81,62.14,61.74,61.87,1246769
2024-12-23,61.94,62.07,61.81,61.81,707967
2024-12-24,62.01,62.07,61.54,61.61,1025356
2024-12-25,61.67,62.74,61.67,61.81,1829185
2024-12-26,61.87,62.07,61.54,61.61,2203884
2024-12-27,61.87,62.21,61.67,61.67,1640901
2024-12-30,61.67,61.87,61.54,61.54,1707785
2024-12-31,61.67,61.81,61.0,61.0,2375289
2025-01-02,61.27,61.87,61.2,61.47,1631368
2025-01-03,61.47,61.81,61.47,61.54,1403040
2025-01-06,61.54,62.48,61.47,62.14,1938268
2025-01-07,62.34,62.34,61.74,61.74,1253566
2025-01-08,61.74,61.81,61.2,61.81,1054219
2025-01-09,61.54,61.67,61.34,61.47,739048
2025-01-10,61.47,61.81,61.14,61.14,1113334
2025-01-13,61.07,61.47,60.94,61.47,938736
2025-01-14,61.47,61.47,61.0,61.34,678628
2025-01-15,61.47,61.47,61.14,61.14,446062
2025-01-16,61.47,62.34,61.41,62.01,2461599
2025-01-17,62.01,62.21,61.67,61.87,1124326
2025-01-20,61.74,61.87,61.27,61.34,1763550
2025-01-21,61.61,61.61,61.07,61.14,1266355
2025-01-22,61.54,61.54,61.0,61.0,979719
2025-01-23,61.07,62.14,61.07,61.87,1686458
2025-01-24,61.61,62.21,61.61,61.94,945437
2025-02-03,61.74,61.81,61.27,61.27,1436966
2025-02-04,61.61,61.67,61.34,61.54,855942
2025-02-05,61.54,62.07,61.54,61.94,1346904
2025-02-06,62.07,62.48,62.01,62.14,1352924
2025-02-07,62.14,62.34,61.87,62.21,2262521
2025-02-10,62.14,62.14,61.47,61.67,2299299
2025-02-11,61.67,61.74,61.34,61.47,1040604
2025-02-12,61.47,61.87,61.2,61.2,1057688
2025-02-13,61.47,61.47,61.14,61.27,863094
2025-02-14,61.67,61.67,61.2,61.27,948437
2025-02-17,61.2,61.54,61.2,61.27,788528
2025-02-18,61.27,61.54,61.14,61.27,1067903
2025-02-19,61.27,61.34,61.07,61.34,1510842
2025-02-20,61.67,61.74,61.34,61.34,1638352
2025-02-21,61.61,62.27,61.61,62.27,2515484
2025-02-24,62.41,62.54,62.01,62.54,1957924
2025-02-25,62.54,62.61,61.87,61.94,1928951
2025-02-26,61.94,62.14,61.67,61.74,771099
2025-02-27,63.48,63.81,62.88,62.88,5035025
2025-02-28,63.01,63.01,62.41,62.41,2073877
2025-03-03,62.54,62.54,62.21,62.41,1252949
2025-03-04,62.34,62.48,62.01,62.21,2501823
2025-03-05,62.21,62.74,62.21,62.21,1822854
2025-03-06,62.54,63.01,62.34,62.54,2359429
2025-03-07,62.61,63.75,62.54,63.61,4003619
2025-03-10,64.48,65.15,64.28,64.75,4434646
2025-03-11,64.21,64.75,63.95,64.75,3644714
2025-03-12,66.0,68.6,65.6,66.7,7581491
2025-03-13,67.2,67.2,65.2,65.5,4514555
2025-03-14,65.4,66.8,65.4,66.0,4929265
2025-03-17,66.0,67.3,66.0,67.3,4946897
2025-03-18,67.8,67.8,66.8,66.8,3663486
2025-03-19,67.2,67.2,66.5,66.5,3679899
2025-03-20,66.5,67.0,66.2,66.8,1693378
2025-03-21,67.0,67.0,66.0,66.0,1707373
2025-03-24,66.3,66.5,65.5,66.5,1983215
2025-03-25,66.5,66.6,66.2,66.2,2028100
2025-03-26,66.4,66.6,65.8,65.8,1507400
2025-03-27,65.8,65.9,65.5,65.5,901500
2025-03-28,65.5,65.7,64.8,64.8,1650600
2025-03-31,64.7,65.2,64.0,64.0,1771900
2025-04-01,64.7,65.3,64.0,64.5,1715200
2025-04-02,65.0,66.0,64.6,64.8,2330700
2025-04-03,64.0,64.4,60.3,60.3,9806100
2025-04-04,56.7,60.0,56.2,60.0,11887700
2025-04-08,59.8,59.8,55.8,55.8,7181200
2025-04-09,52.0,59.7,52.0,52.5,8995800
2025-04-10,56.1,56.1,56.1,56.1,174400
2025-04-11,59.8,59.9,58.0,59.8,8059500
