time,open,high,low,close,volume
2024-12-02,17.55,18.3,17.5,18.0,7600000
2024-12-03,18.0,18.0,17.7,17.7,3147200
2024-12-04,17.8,18.0,17.55,17.6,3219100
2024-12-05,17.6,18.0,17.5,18.0,3513200
2024-12-06,18.05,18.3,17.85,17.85,4610900
2024-12-09,17.95,18.2,17.9,18.05,3515100
2024-12-10,18.05,18.2,17.9,17.9,2713900
2024-12-11,18.0,18.05,17.8,17.8,2336300
2024-12-12,17.9,17.95,17.7,17.75,2204100
2024-12-13,17.75,17.75,17.5,17.5,3437800
2024-12-16,17.6,17.65,17.45,17.6,1813400
2024-12-17,17.6,17.65,17.55,17.55,1873500
2024-12-18,17.6,17.7,17.5,17.6,1743000
2024-12-19,17.5,17.5,17.25,17.4,4709700
2024-12-20,17.4,17.5,17.25,17.3,2257400
2024-12-23,17.4,17.45,17.25,17.3,2296100
2024-12-24,17.3,17.35,17.2,17.25,2063800
2024-12-25,17.3,18.45,17.3,18.2,17373400
2024-12-26,18.25,18.35,17.9,17.9,3276600
2024-12-27,18.0,18.35,17.85,18.2,5963600
2024-12-30,18.2,18.7,18.15,18.45,7964100
2024-12-31,18.4,18.6,18.15,18.15,2549700
2025-01-02,18.2,18.5,18.15,18.3,3862400
2025-01-03,18.3,18.45,18.1,18.1,3109500
2025-01-06,18.1,18.65,18.05,18.25,7226600
2025-01-07,18.45,18.45,17.8,17.9,4646800
2025-01-08,17.9,18.15,17.8,18.15,2031000
2025-01-09,18.2,18.45,18.0,18.0,3774000
2025-01-10,18.0,18.5,18.0,18.2,5208300
2025-01-13,18.2,18.8,18.15,18.45,7059600
2025-01-14,18.55,18.85,18.5,18.55,6326400
2025-01-15,18.65,19.7,18.55,19.5,19927800
2025-01-16,19.5,19.65,19.3,19.5,7344000
2025-01-17,19.5,19.8,19.35,19.55,8317600
2025-01-20,19.7,19.85,19.35,19.45,6222000
2025-01-21,19.7,19.7,19.35,19.45,6024300
2025-01-22,19.55,19.7,19.4,19.5,7038600
2025-01-23,19.7,20.0,19.5,19.8,8895200
2025-01-24,19.7,19.9,19.55,19.7,5167300
2025-02-03,19.75,20.2,19.7,20.1,7309000
2025-02-04,20.2,20.7,20.2,20.5,11042700
2025-02-05,20.55,20.6,20.35,20.6,7286300
2025-02-06,20.7,20.85,20.3,20.35,7669500
2025-02-07,20.4,20.65,20.3,20.3,6390700
2025-02-10,20.35,20.65,20.1,20.3,7639800
2025-02-11,20.4,21.0,20.4,20.85,10571800
2025-02-12,20.9,21.7,20.85,21.55,15583600
2025-02-13,21.55,21.8,21.35,21.75,8838600
2025-02-14,21.85,21.85,21.4,21.5,8709800
2025-02-17,21.65,22.15,21.5,21.6,10886500
2025-02-18,21.6,21.8,21.4,21.75,7846100
2025-02-19,21.75,22.05,21.55,21.85,7110800
2025-02-20,21.95,22.0,21.45,21.5,6376500
2025-02-21,21.4,21.85,21.35,21.45,7651900
2025-02-24,21.6,21.75,21.35,21.45,6186100
2025-02-25,21.65,22.0,21.5,22.0,11533400
2025-02-26,22.0,22.4,21.6,21.6,9288200
2025-02-27,21.6,21.65,21.2,21.65,8845800
2025-02-28,21.75,21.75,21.3,21.35,7330800
2025-03-03,21.45,21.8,21.25,21.75,8889000
2025-03-04,21.7,22.2,21.55,21.9,12382200
2025-03-05,21.95,22.05,21.5,21.5,5294600
2025-03-06,21.5,22.0,21.45,22.0,8352000
2025-03-07,22.1,22.3,21.6,21.6,10695500
2025-03-10,21.6,21.95,21.6,21.7,7640500
2025-03-11,21.55,22.6,21.5,22.2,19470100
2025-03-12,22.25,22.25,21.9,22.1,6970300
2025-03-13,22.15,22.2,20.8,20.9,25036800
2025-03-14,20.8,21.0,20.6,20.9,13411100
2025-03-17,21.0,21.1,20.8,20.9,4955800
2025-03-18,21.05,21.1,20.5,20.5,6399800
2025-03-19,20.45,20.85,20.45,20.8,8320700
2025-03-20,20.9,21.3,20.65,21.0,6752500
2025-03-21,21.0,21.3,20.85,20.95,4596600
2025-03-24,20.95,21.3,20.9,21.1,4289200
2025-03-25,21.1,21.15,20.95,20.95,5696700
2025-03-26,21.0,21.35,20.95,21.05,6300400
2025-03-27,21.15,21.3,21.0,21.05,3494600
2025-03-28,21.1,21.55,20.95,21.2,7676500
2025-03-31,21.15,21.9,21.05,21.75,13260900
2025-04-01,21.8,21.95,21.65,21.8,5036600
2025-04-02,21.95,22.3,21.6,21.65,8104800
2025-04-03,20.6,21.4,20.15,20.15,20166600
2025-04-04,19.3,21.15,19.3,20.7,17274800
2025-04-08,20.2,20.35,19.3,19.3,11827000
2025-04-09,18.05,19.65,18.05,18.2,12985900
2025-04-10,19.45,19.45,19.45,19.45,216600
2025-04-11,20.0,20.8,19.7,20.8,16900800
